id,model,process_size_nm,transistor_count,die_size_mm2,launch_price_usd,release_date,core_count,thread_count,frequency_ghz,tdp_w,foundry
407,Core i7-9700F,14.0,,180.3,333.0,2019-04-23,8,8,3.0,65.0,INTEL
408,EPYC 7282,7.0,3800.0,74,,2019-08-07,16,32,2.8,120.0,TSMC
409,Core i9-11900F,14.0,,276,422.0,2021-03-16,8,16,2.5,65.0,INTEL
410,Opteron 6234,,,,,,,,,,
411,Athlon II X2 280,45.0,410.0,117,,2013-02-06,2,2,3.6,65.0,
412,Pentium G5420,,,,,,,,,,
413,Ryzen 5 3400G,12.0,4940.0,210,149.0,2019-07-07,4,8,3.7,65.0,GLOBALFOUNDRIES
414,Core i7-3820,32.0,1270.0,294,,2012-02-13,4,8,3.6,130.0,INTEL
415,FX 8370,32.0,1200.0,315,,2014-09-02,8,8,4.0,125.0,
416,A10-9700,28.0,3100.0,250,,2017-07-27,4,4,3.5,65.0,GLOBALFOUNDRIES
417,Opteron 4234,,,,,,,,,,
418,EPYC 7702,7.0,3800.0,74,,2019-08-07,64,128,2.0,200.0,TSMC
419,Ryzen 9 3900X,7.0,7600.0,148,499.0,2019-07-07,12,24,3.8,105.0,TSMC
420,Xeon E5-2630 v2,22.0,1400.0,160,,2013-09-01,6,12,2.6,80.0,INTEL
421,Opteron 8378,,,,,,,,,,
422,Pentium G4620,14.0,,,,2017-01-03,2,4,3.7,51.0,INTEL
423,Core i7-6900K,14.0,3400.0,246,1089.0,2016-05-31,8,16,3.2,140.0,INTEL
424,A10-7850K,28.0,2411.0,245,,2014-01-14,4,4,3.7,95.0,GLOBALFOUNDRIES
425,EPYC 7261,14.0,4800.0,213,,2018-06-14,8,16,2.5,170.0,GLOBALFOUNDRIES
426,Pentium G4600,14.0,,,,2017-01-03,2,4,3.6,51.0,INTEL
427,Ryzen 9 5900X,7.0,4150.0,81,549.0,2020-11-05,12,24,3.7,105.0,TSMC
428,Core i7-4810MQ,22.0,1400.0,177,378.0,2014-01-20,4,8,2.8,47.0,INTEL
429,Xeon E5-2430 v2,22.0,1400.0,160,,2013-09-01,6,12,2.5,80.0,INTEL
430,Core i5-10400,14.0,,,,2020-04-30,6,12,2.9,65.0,INTEL
431,Core i5-3570K,22.0,1400.0,160,212.0,2012-04-29,4,4,3.4,77.0,INTEL
432,EPYC 7251,14.0,4800.0,213,,2017-06-29,8,16,2.1,120.0,GLOBALFOUNDRIES
433,Core i5-9600KF,14.0,,,,2019-01-08,6,6,3.7,95.0,INTEL
434,Core i7-7740X,14.0,,,,2017-06-26,4,8,4.3,112.0,INTEL
435,Core i3-9100F,14.0,,126,122.0,2019-04-23,4,4,3.6,65.0,INTEL
436,Ryzen 5 1400,14.0,4800.0,213,169.0,2017-04-11,4,8,3.2,65.0,GLOBALFOUNDRIES
437,A10-7860K,28.0,2411.0,245,,2016-02-02,4,4,3.6,65.0,GLOBALFOUNDRIES
438,Ryzen 7 1700,14.0,4800.0,213,329.0,2017-03-02,8,16,3.0,65.0,GLOBALFOUNDRIES
439,Athlon 3000G,14.0,4800.0,148,,2019-11-20,2,4,3.5,35.0,
440,Core i7-6800K,14.0,3400.0,246,434.0,2016-05-31,6,12,3.4,140.0,INTEL
441,Core i7-5820K,22.0,2600.0,356,,2014-09-01,6,12,3.3,140.0,INTEL
442,Core i7-5775C,14.0,,182,366.0,2015-05-15,4,8,3.3,65.0,INTEL
443,Core i3-4150,22.0,1400.0,177,117.0,2014-05-01,2,4,3.5,54.0,INTEL
444,Ryzen 5 4500,7.0,9800.0,156,129.0,2022-04-04,6,12,3.6,65.0,TSMC
445,Athlon 5370,28.0,,107,,2014-04-09,4,4,2.2,25.0,GLOBALFOUNDRIES
446,Athlon II X3 460,45.0,300.0,169,,2011-05-03,3,3,3.4,95.0,
447,Xeon E3-1275V2,,,,,,,,,,
448,FX 8120,32.0,1200.0,315,,2011-10-12,8,8,3.1,125.0,
449,Xeon E5-2643 v2,22.0,1400.0,160,,2013-09-01,6,12,3.5,130.0,INTEL
450,Ryzen 5 2600X,12.0,4800.0,213,229.0,2018-04-19,6,12,3.6,95.0,GLOBALFOUNDRIES
451,Core i3-3225,22.0,,118,,2012-09-03,2,4,3.3,55.0,INTEL
452,Ryzen 3 3200G Bulk,,,,,,,,,,
453,Athlon X2 370K,,,,,,,,,,
454,Xeon E5-2603,32.0,1270.0,294,,2012-03-06,4,4,1.8,80.0,INTEL
455,Core i3-3220,22.0,,94,,2012-09-03,2,4,3.3,55.0,INTEL
456,Core i9-10900,14.0,,,,2020-04-30,10,20,2.8,65.0,INTEL
457,Ryzen 5 PRO 4650G,7.0,9800.0,156,,2020-07-21,6,12,3.7,65.0,TSMC
458,Celeron G5900,14.0,,,,2020-04-30,2,2,3.4,58.0,INTEL
459,Core i5-3470,22.0,1400.0,160,184.0,2012-06-01,4,4,3.2,77.0,INTEL
460,Celeron G550,32.0,504.0,131,,2012-06-01,2,2,2.6,65.0,INTEL
461,Pentium G3250,22.0,1400.0,177,,2014-07-21,2,2,3.2,54.0,INTEL
462,A4-3400,32.0,1178.0,228,,2011-09-07,2,2,2.7,65.0,
463,Pentium G870,32.0,504.0,131,,2012-06-03,2,2,3.1,65.0,INTEL
464,Xeon E5-2650,32.0,2270.0,435,,2012-03-06,8,16,2.0,95.0,INTEL
465,A8-6500T,32.0,1303.0,246,,2013-09-16,4,4,2.1,45.0,GLOBALFOUNDRIES
466,EPYC 7281,14.0,4800.0,213,,2017-06-29,16,32,2.1,170.0,GLOBALFOUNDRIES
467,Core i5-3350P,22.0,,133,,2012-09-03,4,4,3.1,69.0,INTEL
468,Core i7-11700KF,14.0,,276,,2021-03-16,8,16,3.6,125.0,INTEL
469,Xeon E3-1220V2,,,,,,,,,,
470,A6-5400K,32.0,1303.0,246,,2012-10-02,2,2,3.6,65.0,GLOBALFOUNDRIES
471,Core i9-12900KS,10.0,,215,739.0,2022-04-05,16,24,3.4,150.0,INTEL
472,Core i5-6500,14.0,,177,,2015-07-02,4,4,3.2,65.0,INTEL
473,Core i5-8500,14.0,,,,2018-02-14,6,6,3.0,65.0,INTEL
474,A8-7600,28.0,2411.0,245,,2014-07-31,4,4,3.1,65.0,GLOBALFOUNDRIES
475,EPYC 7502,7.0,3800.0,74,,2019-08-07,32,64,2.5,180.0,TSMC
476,FX 9370-WOX,,,,,,,,,,
477,Opteron 6370P,,,,,,,,,,
478,Core i7-6950X,14.0,3400.0,246,1723.0,2016-05-31,10,20,3.0,140.0,INTEL
479,Xeon E3-1270V3,,,,,,,,,,
480,Xeon E3-1275V3,,,,,,,,,,
481,Xeon E3-1230V5,,,,,,,,,,
482,Xeon E3-1245V6,,,,,,,,,,
483,Pentium G6400,14.0,,,,2020-04-30,2,4,4.0,58.0,INTEL
484,Core i5-8600,14.0,,,,2018-02-14,6,6,3.1,65.0,INTEL
485,Celeron G5905,,,,,,,,,,
486,Ryzen 5 5500,7.0,10700.0,180,159.0,2022-04-04,6,12,3.6,65.0,TSMC
487,Core i5-11400,14.0,,276,,2021-03-16,6,12,2.6,65.0,INTEL
488,Core i3-7300,14.0,,,,2017-01-03,2,4,4.0,51.0,INTEL
489,Xeon E5-2620 v4,,,,,,,,,,
490,Celeron G4920,14.0,,126,52.0,2018-04-03,2,2,3.2,54.0,INTEL
491,Ryzen Threadripper 1920X,14.0,9600.0,426,799.0,2017-08-10,12,24,3.5,180.0,GLOBALFOUNDRIES
